招聘单位,二级部门,岗位名称,需求学科,学历要求,需求人数,工作城市,数智博士,发布日期,申请链接,抓取时间
中国航天科技集团有限公司,体系院,智能筹划设计,控制科学与工程 / 数学 / 计算机科学与技术,博士,1,北京,,2026-08-27,https://www.spacetalent.com.cn/jituan_xxx.html?id=282&positionId=132036640,2026-09-11 15:33:06
中国航天科技集团有限公司,体系院,评估技术与应用,兵器 / 控制科学与工程 / 航空宇航科学与技术,硕士及以上,1,北京,,2026-08-27,https://www.spacetalent.com.cn/jituan_xxx.html?id=282&positionId=132036641,2026-09-11 15:33:06
中国航天科技集团有限公司,体系院,概念设计总体,军事思想及军事历史 / 军队指挥学 / 战役学,硕士及以上,1,北京,,2026-08-27,https://www.spacetalent.com.cn/jituan_xxx.html?id=282&positionId=132036642,2026-09-11 15:33:06
中国航天科技集团有限公司,体系院,网络通信技术研究,信息与通信工程 / 电子信息 / 电子科学与技术,硕士及以上,2,北京,,2026-08-27,https://www.spacetalent.com.cn/jituan_xxx.html?id=282&positionId=132036643,2026-09-11 15:33:06
中国航天科技集团有限公司,体系院,网络信息总体技术,信息与通信工程 / 电子信息 / 计算机科学与技术,硕士及以上,1,北京,,2026-08-27,https://www.spacetalent.com.cn/jituan_xxx.html?id=282&positionId=132036644,2026-09-11 15:33:06
中国航天科技集团有限公司,体系院,模型开发与集成,兵器 / 控制科学与工程 / 航空宇航科学与技术,硕士及以上,1,北京,,2026-08-27,https://www.spacetalent.com.cn/jituan_xxx.html?id=282&positionId=132036645,2026-09-11 15:33:06
中国航天科技集团有限公司,体系院,智能指控系统软件开发设计,信息与通信工程 / 计算机科学与技术 / 软件工程,硕士及以上,1,北京,,2026-08-27,https://www.spacetalent.com.cn/jituan_xxx.html?id=282&positionId=132036646,2026-09-11 15:33:06
中国航天科技集团有限公司,体系院,智能指控系统总体设计,控制科学与工程 / 航空宇航科学与技术 / 计算机科学与技术,博士,1,北京,,2026-08-27,https://www.spacetalent.com.cn/jituan_xxx.html?id=282&positionId=132036647,2026-09-11 15:33:06
中国航天科技集团有限公司,体系院,战略规划论证与评估总体,兵器科学与技术 / 控制科学与工程 / 航空宇航科学与技术,硕士及以上,1,北京,,2026-08-27,https://www.spacetalent.com.cn/jituan_xxx.html?id=282&positionId=132036648,2026-09-11 15:33:06
中国航天科技集团有限公司,体系院,体系解决方案设计总体,兵器 / 控制科学与工程 / 航空宇航科学与技术,硕士及以上,1,北京,,2026-08-27,https://www.spacetalent.com.cn/jituan_xxx.html?id=282&positionId=132036649,2026-09-11 15:33:06
中国航天科技集团有限公司,体系院,体系仿真设计,兵器 / 控制科学与工程 / 航空宇航科学与技术,硕士及以上,1,北京,,2026-08-27,https://www.spacetalent.com.cn/jituan_xxx.html?id=282&positionId=132036650,2026-09-11 15:33:06
中国航天科技集团有限公司,体系院,体系总体设计,控制科学与工程 / 电子信息 / 计算机科学与技术,硕士及以上,1,北京,,2026-08-27,https://www.spacetalent.com.cn/jituan_xxx.html?id=282&positionId=132036651,2026-09-11 15:33:06
中国航天科技集团有限公司,体系院,智能情报态势设计,信息与通信工程 / 电子科学与技术 / 航空宇航科学与技术,博士,1,北京,,2026-08-27,https://www.spacetalent.com.cn/jituan_xxx.html?id=282&positionId=132036652,2026-09-11 15:33:06
中国航天科技集团有限公司,体系院,体系智能应用总体设计,电子信息 / 计算机科学与技术 / 软件工程,硕士及以上,1,北京,,2026-08-27,https://www.spacetalent.com.cn/jituan_xxx.html?id=282&positionId=132036653,2026-09-11 15:33:06
中国航天科技集团有限公司,体系院,数据模型应用研究,电子信息 / 计算机科学与技术 / 软件工程,硕士及以上,1,北京,,2026-08-27,https://www.spacetalent.com.cn/jituan_xxx.html?id=282&positionId=132036654,2026-09-11 15:33:06
中国航天科技集团有限公司,体系院,先进能源与动力技术研究,动力工程及工程热物理 / 控制科学与工程 / 航空宇航科学与技术,硕士及以上,1,北京,,2026-08-27,https://www.spacetalent.com.cn/jituan_xxx.html?id=282&positionId=132036655,2026-09-11 15:33:06
中国航天科技集团有限公司,体系院,先进材料与制造技术研究,机械工程 / 材料科学与工程 / 航空宇航科学与技术,硕士及以上,1,北京,,2026-08-27,https://www.spacetalent.com.cn/jituan_xxx.html?id=282&positionId=132036656,2026-09-11 15:33:06
中国航天科技集团有限公司,体系院,专业数据集产品集成,计算机科学与技术 / 软件工程,硕士及以上,2,北京,,2026-08-27,https://www.spacetalent.com.cn/jituan_xxx.html?id=282&positionId=132036657,2026-09-11 15:33:06
中国航天科技集团有限公司,体系院,AI4S技术研究,信息与通信工程 / 电子科学与技术 / 计算机科学与技术,硕士及以上,1,北京,,2026-08-27,https://www.spacetalent.com.cn/jituan_xxx.html?id=282&positionId=132036658,2026-09-11 15:33:06
中国航天科技集团有限公司,体系院,AI4S总体设计,动力工程及工程热物理 / 材料科学与工程 / 计算机科学与技术,硕士及以上,1,北京,,2026-08-27,https://www.spacetalent.com.cn/jituan_xxx.html?id=282&positionId=132036659,2026-09-11 15:33:06
